Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
Rest,2020-12-03 13:00:02.7136,7992,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5529,18,(0.553 0.682 0.679 0.666 0.652 0.606 0.596 0.571 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 13:00:12.6414,8702,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Open,5,0.0000,0.0000,Running,2.6996,25,0.1667,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-03 13:00:15.7463,8924,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5978,19,(0.619 0.613 0.598 0.619 0.643 0.675 0.655 0.622 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 13:00:15.7463,8924,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,5,-2.8955,0.0000,Running,2.6996,25,0.1667,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2020-12-03 13:00:15.7473,8924,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,5,-2.8955,0.0000,Running,2.6996,24,0.2000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput
Rest,2020-12-03 13:00:16.9018,9006,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5694,19,(0.627 0.654 0.657 0.628 0.615 0.569 0.687 0.667 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 13:00:17.9321,9080,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7252,20,(0.614 0.638 0.604 0.632 0.663 0.671 0.694 0.725 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 13:00:18.4332,9116,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5238,20,(0.719 0.708 0.734 0.729 0.714 0.663 0.651 0.524 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 13:00:21.6212,9342,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7584,21,(0.649 0.676 0.729 0.782 0.758 0.596 0.601 0.618 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 13:00:22.7911,9426,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5260,21,(0.526 0.679 0.678 0.651 0.611 0.623 0.609 0.582 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 13:00:30.6454,9987,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Open,6,0.0000,0.0000,Running,1.4301,24,0.2000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
