Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
GameDecision,2020-11-30 11:29:55.3076,13655,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,8,0.0020,0.0000,Running,4.7283,28,0.0667,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2020-11-30 11:30:07.3086,14509,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Open,9,0.0000,0.0000,Running,1.5914,28,0.0667,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:30:13.3099,14937,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,9,0.0006,0.0000,Running,1.5914,28,0.0667,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-30 11:30:13.3119,14937,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,9,0.0006,0.0000,Running,1.5914,28,0.0667,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
MotorImagery,2020-11-30 11:30:18.4474,15265,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2785,7,(0.211 0.218 0.216 0.202 0.221 0.257 0.278 0.279 ),NULL
Rest,2020-11-30 11:30:19.4775,15330,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2089,7,(0.232 0.209 0.244 0.245 0.248 0.235 0.230 0.235 ),NULL
MotorImagery,2020-11-30 11:30:20.2298,15383,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2813,8,(0.237 0.259 0.246 0.267 0.262 0.281 0.246 0.258 ),NULL
Rest,2020-11-30 11:30:21.1208,15447,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2181,8,(0.280 0.255 0.255 0.242 0.218 0.325 0.315 0.263 ),NULL
MotorImagery,2020-11-30 11:30:24.2134,15657,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3823,9,(0.362 0.379 0.419 0.406 0.428 0.419 0.419 0.382 ),NULL
Rest,2020-11-30 11:30:24.4485,15674,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2833,9,(0.359 0.351 0.406 0.283 0.428 0.419 0.419 0.382 ),NULL
InputWindowChange,2020-11-30 11:30:25.3114,15736,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Open,10,0.0000,0.0000,Running,4.1571,28,0.0667,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:30:31.3125,16160,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,10,0.0012,0.0000,Running,4.1571,28,0.0667,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-30 11:30:31.3145,16160,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,10,0.0012,0.0000,Running,4.1571,28,0.0667,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2020-11-30 11:30:43.3160,17018,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Open,11,0.0000,0.0000,Running,3.2062,28,0.0667,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:30:49.3167,17447,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,11,0.0002,0.0000,Running,3.2062,28,0.0667,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-30 11:30:49.3182,17447,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,11,0.0002,0.0000,Running,3.2062,28,0.0667,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
MotorImagery,2020-11-30 11:30:55.7491,17888,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3991,10,(0.408 0.372 0.362 0.405 0.388 0.379 0.399 0.414 ),NULL
