Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
Rest,2021-05-03 10:37:28.5038,12142,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2708,32,(0.763 0.736 0.599 0.475 0.379 0.271 0.772 0.760 ),NULL
InputWindowChange,2021-05-03 10:37:29.2561,12196,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Closed,9,0.0118,0.0000,Running,0.7384,20,0.0000,0,0.0000,0,0.4500,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-05-03 10:37:29.2561,12196,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Closed,9,0.0118,0.0000,Running,0.7384,20,0.0000,0,0.0000,0,0.5000,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
MotorImagery,2021-05-03 10:37:30.1612,12261,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6201,33,(0.620 0.317 0.322 0.435 0.485 0.545 0.542 0.587 ),NULL
Rest,2021-05-03 10:37:34.3930,12565,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2874,33,(0.287 0.570 0.568 0.548 0.485 0.414 0.372 0.332 ),NULL
MotorImagery,2021-05-03 10:37:35.5210,12646,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4096,34,(0.360 0.378 0.410 0.305 0.351 0.375 0.384 0.362 ),NULL
Rest,2021-05-03 10:37:36.0498,12684,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2868,34,(0.364 0.331 0.336 0.334 0.287 0.395 0.408 0.391 ),NULL
MotorImagery,2021-05-03 10:37:37.3165,12775,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3236,35,(0.324 0.334 0.338 0.324 0.307 0.310 0.322 0.322 ),NULL
Rest,2021-05-03 10:37:37.3305,12776,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2299,35,(0.324 0.230 0.338 0.324 0.307 0.310 0.322 0.322 ),NULL
MotorImagery,2021-05-03 10:37:38.8483,12885,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5708,36,(0.396 0.467 0.571 0.358 0.472 0.449 0.392 0.382 ),NULL
